date, value
1962-11-29,0.0389
1962-11-30,0.0384
1962-12-03,0.0387
1962-12-04,0.0380
1962-12-05,0.0375
1962-12-06,0.0382
1962-12-07,0.0375
1962-12-10,0.0378
1962-12-11,0.0380
1962-12-12,0.0384
1962-12-13,0.0385
1962-12-14,0.0386
1962-12-17,0.0382
1962-12-18,0.0385
1962-12-19,0.0390
1962-12-20,0.0395
1962-12-21,0.0397
1962-12-26,0.0402
1962-12-27,0.0414
1962-12-28,0.0415
1963-01-02,0.0425
1963-01-03,0.0434
1963-01-04,0.0435
1963-01-07,0.0449
1963-01-08,0.0465
1963-01-09,0.0467
1963-01-10,0.0450
1963-01-11,0.0445
1963-01-14,0.0465
1963-01-15,0.0472
1963-01-16,0.0469
1963-01-17,0.0457
1963-01-18,0.0470
1963-01-21,0.0479
1963-01-22,0.0471
1963-01-23,0.0464
1963-01-24,0.0484
1963-01-25,0.0478
1963-01-28,0.0445
1963-01-29,0.0445
1963-01-30,0.0466
1963-01-31,0.0478
1963-02-01,0.0482
1963-02-04,0.0485
1963-02-05,0.0489
1963-02-06,0.0491
1963-02-07,0.0493
1963-02-08,0.0482
1963-02-11,0.0472
1963-02-13,0.0485
1963-02-14,0.0492
1963-02-15,0.0498
1963-02-18,0.0493
1963-02-19,0.0492
1963-02-20,0.0487
1963-02-21,0.0492
1963-02-25,0.0533
1963-02-26,0.0549
1963-02-27,0.0567
1963-02-28,0.0558
1963-03-01,0.0584
1963-03-04,0.0576
1963-03-05,0.0569
1963-03-06,0.0570
1963-03-07,0.0586
1963-03-08,0.0583
1963-03-11,0.0579
1963-03-12,0.0578
1963-03-13,0.0586
1963-03-14,0.0600
1963-03-15,0.0599
1963-03-18,0.0610
1963-03-19,0.0627
1963-03-20,0.0673
1963-03-21,0.0683
1963-03-22,0.0694
1963-03-25,0.0720
1963-03-26,0.0680
1963-03-27,0.0653
1963-03-28,0.0627
1963-03-29,0.0577
1963-04-01,0.0605
1963-04-02,0.0646
1963-04-03,0.0612
1963-04-04,0.0623
1963-04-05,0.0650
1963-04-08,0.0670
1963-04-09,0.0658
1963-04-10,0.0650
1963-04-11,0.0677
1963-04-15,0.0689
1963-04-16,0.0675
1963-04-17,0.0681
1963-04-18,0.0672
1963-04-19,0.0702
1963-04-22,0.0699
1963-04-23,0.0708
1963-04-24,0.0705
1963-04-25,0.0715
1963-04-26,0.0730
1963-04-29,0.0780
1963-04-30,0.0768
1963-05-01,0.0766
1963-05-02,0.0762
1963-05-03,0.0754
1963-05-06,0.0759
1963-05-07,0.0802
1963-05-08,0.0811
1963-05-09,0.0850
1963-05-10,0.0882
1963-05-13,0.0932
1963-05-14,0.0922
1963-05-15,0.0972
1963-05-16,0.1022
1963-05-17,0.1033
1963-05-20,0.1083
1963-05-21,0.1133
1963-05-22,0.1183
1963-05-23,0.1183
1963-05-24,0.1133
1963-05-27,0.1083
1963-05-28,0.1033
1963-05-29,0.0983
1963-05-31,0.0955
1963-06-03,0.0905
1963-06-04,0.0855
1963-06-05,0.0805
1963-06-06,0.0805
1963-06-07,0.0805
1963-06-10,0.0855
1963-06-11,0.0845
1963-06-12,0.0795
1963-06-13,0.0745
1963-06-14,0.0695
1963-06-17,0.0693
1963-06-18,0.0743
1963-06-19,0.0771
1963-06-20,0.0750
1963-06-21,0.0765
1963-06-24,0.0722
1963-06-25,0.0675
1963-06-26,0.0675
1963-06-27,0.0725
1963-06-28,0.0757
1963-07-01,0.0755
1963-07-02,0.0799
1963-07-03,0.0770
1963-07-08,0.0796
1963-07-09,0.0778
1963-07-10,0.0743
1963-07-11,0.0693
1963-07-12,0.0679
1963-07-15,0.0630
1963-07-16,0.0680
1963-07-17,0.0655
1963-07-18,0.0679
1963-07-19,0.0699
1963-07-22,0.0675
1963-07-23,0.0700
1963-07-24,0.0683
1963-07-25,0.0687
1963-07-26,0.0658
1963-07-29,0.0609
1963-07-30,0.0605
1963-07-31,0.0590
1963-08-01,0.0609
1963-08-02,0.0620
1963-08-05,0.0593
1963-08-06,0.0617
1963-08-07,0.0635
1963-08-08,0.0623
1963-08-09,0.0614
1963-08-12,0.0568
1963-08-13,0.0568
1963-08-14,0.0552
1963-08-15,0.0560
1963-08-16,0.0544
1963-08-19,0.0520
1963-08-20,0.0494
1963-08-21,0.0512
1963-08-22,0.0507
1963-08-23,0.0530
1963-08-26,0.0545
1963-08-27,0.0578
1963-08-28,0.0597
1963-08-29,0.0601
1963-08-30,0.0611
1963-09-03,0.0634
1963-09-04,0.0664
1963-09-05,0.0644
1963-09-06,0.0653
1963-09-09,0.0690
1963-09-10,0.0703
1963-09-11,0.0687
1963-09-12,0.0718
1963-09-13,0.0750
1963-09-16,0.0765
1963-09-17,0.0758
1963-09-18,0.0786
1963-09-19,0.0800
1963-09-20,0.0805
1963-09-23,0.0797
1963-09-24,0.0793
1963-09-25,0.0762
1963-09-26,0.0763
1963-09-27,0.0762
1963-09-30,0.0812
1963-10-01,0.0852
1963-10-02,0.0862
1963-10-03,0.0912
1963-10-04,0.0861
1963-10-07,0.0905
1963-10-08,0.0911
1963-10-09,0.0938
1963-10-10,0.0947
1963-10-11,0.0954
1963-10-14,0.1000
1963-10-15,0.1049
1963-10-16,0.1081
1963-10-17,0.1084
1963-10-18,0.1134
1963-10-21,0.1165
1963-10-22,0.1115
1963-10-23,0.1165
1963-10-24,0.1130
1963-10-25,0.1130
1963-10-28,0.1080
1963-10-29,0.1130
1963-10-30,0.1142
1963-10-31,0.1146
1963-11-01,0.1142
1963-11-04,0.1129
1963-11-06,0.1079
1963-11-07,0.1029
1963-11-08,0.1062
1963-11-12,0.1071
1963-11-13,0.1023
1963-11-14,0.1045
1963-11-15,0.1014
1963-11-18,0.0966
1963-11-19,0.0978
1963-11-20,0.0942
1963-11-21,0.0931
1963-11-22,0.0890
1963-11-26,0.0939
1963-11-27,0.0990
1963-11-29,0.1034
